City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Pawai,IN,24.2667,80.1667,90.91,38,14,13.09,few clouds
134,Quatre Cocos,MU,-20.2078,57.7625,68.11,79,93,17.74,light rain
135,Ahuimanu,US,21.4447,-157.8378,89.31,59,20,20.71,few clouds
136,Xai-Xai,MZ,-25.0519,33.6442,61.47,86,0,5.91,clear sky
137,Batagay-Alyta,RU,67.8006,130.4114,59.25,40,100,8.03,overcast clouds
138,Havoysund,NO,70.9963,24.6622,50.23,92,100,9.42,overcast clouds
139,Koutiala,ML,12.3917,-5.4642,89.62,36,76,11.83,broken clouds
140,Chokurdakh,RU,70.6333,147.9167,60.94,30,61,11.7,broken clouds
141,Fare,PF,-16.7,-151.0167,79.5,76,21,15.32,moderate rain
142,Kruisfontein,ZA,-34.0033,24.7314,69.89,21,97,16.91,overcast clouds
143,Atuona,PF,-9.8,-139.0333,77.79,66,12,14.0,few clouds
144,Polyanka,UA,50.2584,27.6881,59.86,99,84,7.07,light rain
145,Qaanaaq,GL,77.484,-69.3632,30.24,77,100,2.26,overcast clouds
146,Norman Wells,CA,65.282,-126.8329,55.44,71,100,18.41,overcast clouds
147,Murray,US,40.6669,-111.888,94.75,22,0,12.66,clear sky
148,Tual,ID,-5.6667,132.75,82.36,76,65,6.67,broken clouds
149,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,100,10.36,overcast clouds
150,Thompson,CA,55.7435,-97.8558,71.76,30,40,8.05,scattered clouds
151,Kaitangata,NZ,-46.2817,169.8464,44.85,64,100,10.11,overcast clouds
152,Marawi,PH,7.9986,124.2928,72.25,87,71,1.05,broken clouds
153,Pozo Colorado,PY,-23.4923,-58.7972,48.92,50,0,5.41,clear sky
154,Codrington,AU,-38.2667,141.9667,52.02,74,100,16.2,overcast clouds
155,Sinop,TR,41.7711,34.8709,61.74,93,100,11.01,overcast clouds
156,Luang Prabang,LA,19.8856,102.1347,72.95,98,95,1.88,overcast clouds
157,Bethel,US,41.3712,-73.414,73.78,63,100,5.75,overcast clouds
158,Sistranda,NO,63.7256,8.834,53.56,91,100,5.46,light rain
159,Xining,CN,36.6167,101.7667,51.28,76,98,1.92,overcast clouds
160,Carnarvon,AU,-24.8667,113.6333,70.14,68,2,10.92,clear sky
161,Msanga,TZ,-6.05,36.0333,67.44,68,100,6.38,overcast clouds
